date,return
2018-08-30,-0.0040482848780515335
2018-08-31,3.4605092121609005e-05
2018-09-04,-0.0017223999985828131
2018-09-05,-0.0026912203255041733
2018-09-06,-0.0030105850314410265
2018-09-07,-0.0019431155336921968
2018-09-10,0.0017387493617531113
2018-09-11,0.003297354048020562
2018-09-12,0.00024197838682260553
2018-09-13,0.005914940270108193
2018-09-14,0.00017176695856835345
2018-09-17,-0.005294629344120838
2018-09-18,0.005426497408863584
2018-09-19,0.0010653224518561988
2018-09-20,0.008103799079657525
2018-09-21,-0.0009132712324466663
2018-09-24,-0.0033222261264603814
2018-09-25,-0.0009277085189092205
2018-09-26,-0.002992084850868215
2018-09-27,0.0027940699779711586
2018-09-28,0.00010309136724862
2018-10-01,0.003474220129038752
2018-10-02,-0.0005828818300103178
2018-10-03,0.0005492726994962283
